u,v,capacity_mld
S,Khadakwasla_raw,1350
Khadakwasla_raw,Parvati_in,500
Khadakwasla_raw,WarjeNew_in,286
Khadakwasla_raw,WadgaonNew_in,125
Khadakwasla_raw,CantonmentNew_in,100
Khadakwasla_raw,Holkar_in,40
Parvati_in,Parvati_out,500
WarjeNew_in,WarjeNew_out,286
WadgaonNew_in,WadgaonNew_out,125
CantonmentNew_in,CantonmentNew_out,100
Holkar_in,Holkar_out,40
Parvati_out,Parvati_zone,450
WarjeNew_out,Warje_zone,235
WadgaonNew_out,Vadgaon_zone,200
CantonmentNew_out,Cantonment_zone,423
Holkar_out,Holkar_zone,42
Parvati_zone,T,450
Warje_zone,T,235
Vadgaon_zone,T,200
Cantonment_zone,T,423
Holkar_zone,T,42
